Source Row,G1 Price Model,G2 Equivalent
365,CHC 120-2-2,CHC 120-20-2
366,CHC 120-2-1,CHC 120-20-1
367,CHC 120-2,CHC 120-20
368,CHC 120-3-2,CHC 120-30-2
369,CHC 120-3-1,CHC 120-30-1
370,CHC 120-3,CHC 120-30
371,CHC 120-4-2,CHC 120-40-2
372,CHC 120-4-1,CHC 120-40-1
373,CHC 120-4,CHC 120-40
374,CHC 120-5-2,CHC 120-50-2
375,CHC 120-5-1,CHC 120-50-1
376,CHC 120-5,CHC 120-50
377,CHC 120-6-2,CHC 120-60-2
378,CHC 120-6-1,CHC 120-60-1
379,CHC 120-6,CHC 120-60
380,CHC 120-7-2,CHC 120-70-2
381,CHC 120-7-1,CHC 120-70-1
382,CHC 120-7,CHC 120-70
383,CHC 150-1-1,CHC 150-10-1
384,CHC 150-1,CHC 150-10
385,CHC 150-2-2,CHC 150-20-2
386,CHC 150-2-1,CHC 150-20-1
387,CHC 150-2,CHC 150-20
388,CHC 150-3-2,CHC 150-30-2
389,CHC 150-3-1,CHC 150-30-1
390,CHC 150-3,CHC 150-30
391,CHC 150-4-2,CHC 150-40-2
392,CHC 150-4-1,CHC 150-40-1
393,CHC 150-4,CHC 150-40
394,CHC 150-5-2,CHC 150-50-2
395,CHC 150-5-1,CHC 150-50-1
396,CHC 150-5,CHC 150-50
397,CHC 150-6-2,CHC 150-60-2
398,CHC 150-6-1,CHC 150-60-1
399,CHC 150-6,CHC 150-60
400,CHC 200-1-0-1,CHC 200-10-0-1
401,CHC 200-1-1,CHC 200-10-1
402,CHC 200-1,CHC 200-10
403,CHC 200-2-0-2,CHC 200-20-0-2
404,CHC 200-2-2,CHC 200-20-2
405,CHC 200-2-1,CHC 200-20-1
406,CHC 200-2,CHC 200-20
407,CHC 200-3-0-2,CHC 200-30-0-2
408,CHC 200-3-1-1,CHC 200-30-1-1
409,CHC 200-3-2,CHC 200-30-2
410,CHC 200-3-0-1,CHC 200-30-0-1
411,CHC 200-3-1,CHC 200-30-1
412,CHC 200-3,CHC 200-30
413,CHC 200-4-0-2,CHC 200-40-0-2
414,CHC 200-4-2,CHC 200-40-2
415,CHC 200-4-1,CHC 200-40-1
416,CHC 200-4,CHC 200-40
